num_facture,date_facture,vendeur_nom,vendeur_adresse,vendeur_id_fiscal,iban,client_nom,client_adresse,client_id_fiscal,tva,sous_total,taxe,total,path_picture
12222347,03/18/2017,"Gregory, Patterson and Fischer","439 Hunter Land South Jameschester, MT 09091",958-94-6606,GB10YCPS61791374226282,Wilson PLC,"667 Wu Ports Marshallmouth, AK 03373",928-91-2431,10%,"123,75","12,38","136,13",batch_1/invoice_235.pdf0.jpg
72744145,03/29/2016,"Elliott, Simon and Taylor","365 Tyler Plaza Lake Jessica, ND 82382",953-92-2203,GB21SZAV32374970565640,"Hopkins, Graves and Baker","36477 Baker Groves Apt. 526 Lake Veronicatown, NC 12403",900-91-6751,10%,"2805,00","280,50","3085,50",batch_1/invoice_234.pdf0.jpg
21628539,01/25/2018,Camacho Group,"05086 Renee Bypass Suite 045 Maryburgh, IA 39425",995-79-1575,GB87CKKW70372703137293,Hall Inc,"423 Kelley Forest Michaelhaven, WA 84723",974-82-4580,10%,"238,75","23,88","262,63",batch_1/invoice_270_color_B_243.pdf0.jpg
28935386,02/25/2017,Bishop Group,"400 Rebekah Lake Lake Brittanyton, KY 19192",927-78-0136,GB71ETPX44286405633541,"Mayer, Richardson and Gamble","5482 Stephens Village Suite 724 North Michaeltown, IA 70996",915-85-9642,10%,"2870,01","287,00","3157,01",batch_1/invoice_243_color_B_253.pdf0.jpg
42321277,03/04/2015,Brady-Mills,"PSC 3387, Box 7553 APO AE 71048",971-82-3372,GB71TRSB38658790977230,Ewing-Young,"147 Bond Fort Apt. 408 New Sarafurt, HI 18127",931-91-1835,10%,"769,91","76,99","846,90",batch_1/invoice_60_color_B_243.pdf0.jpg
81133446,10/05/2018,Price and Sons,"357 Robert Route Apt. 144 Dawnborough, HI 76752",909-76-1142,GB73RAQT65882177253646,Espinoza-Doyle,"506 Miguel Circles Suite 510 East Kelseytown, MD 93597",993-88-5855,10%,"51,00","5,10","56,10",batch_1/invoice_997.pdf0.jpg
90188228,03/28/2016,Baker-Smith,"PSC 8796, Box 5451 APO AA 79359",938-94-6389,GB55GDNB68373704463049,Lozano-Lindsey,"47773 Miller Court Harrisonmouth, ME 64015",953-85-7076,10%,"321,51","32,15","353,66",batch_1/invoice_507.pdf0.jpg
42910151,04/05/2013,"Terry, Mccarthy and Clark","227 Castro Pine Port Sarah, UT 81957",933-95-9157,GB35THGM38607815672207,"Schultz, Thomas and Lang","805 Gregory Lock Suite 478 Sheppardborough, AL 35800",960-86-6276,10%,"36824,92","3682,49","40507,41",batch_1/invoice_761.pdf0.jpg
58805260,03/07/2019,Murray-Parsons,"98850 Fisher Pines Apt. 122 New Jeffreyland, WI 22568",932-94-1632,GB85ETVV11072777524235,"James, Johnson and Martin","57002 James Glens Elizabethfort, NV 49326",967-90-8360,10%,"5458,46","545,85","6004,31",batch_1/invoice_21.pdf0.jpg
45141161,11/18/2011,Webster-Pierce,"584 Howell Gateway Apt. 071 Christinaport, DE 37391",924-70-3297,GBO4QTVN37160669532304,"Carter, Kelley and Scott","10615 Parker Squares Suite 427 Waltershaven, TN 05191",929-73-2229,10%,"4778,06","477,81","5255,87",batch_1/invoice_760.pdf0.jpg
94223548,11/19/2012,"Mitchell, Acevedo and Wright","1578 Jennifer Cape Suite 632 Duranborough, SD 85318",917-85-6258,GB25RZXN80451196219485,Brock-Walker,"040 Gregory Freeway Suite 126 Lake Jonathonfurt, CO 77182",987-96-1917,10%,"4018,90","401,89","4420,79",batch_1/invoice_996.pdf0.jpg
60605668,09/27/2017,Foster-Beard,"797 Angel Corners Apt. 381 Wheelerview, NE 95004",953-98-6134,GB93MMKZ56548246693842,Henderson and Sons,"143 Tonya Bridge Quinnborough, PA 08012",994-91-7128,10%,"5542,99","554,30","6097,29",batch_1/invoice_506.pdf0.jpg
13310164,01/16/2020,Montgomery LLC,"75081 David Corners Lake Kellyview, NH 03078",924-83-8802,GB13LKIT26418644296553,Campbell-Flores,"34813 Davis Views Jasonhaven, MO 32671",999-80-5625,10%,"17045,00","1704,50","18749,50",batch_1/invoice_20.pdf0.jpg
68899128,10/15/2013,Dominguez LLC,"31931 Cherry Spur Michaelview, MO 55717",946-75-0726,GBO3WSOL06269905573746,"Werner, Gilmore and Martin","08361 Nguyen Mountain Jesusberg, OK 18158",948-87-8263,10%,"1053,99","105,40","1159,39",batch_1/invoice_595.pdf0.jpg
89499883,11/23/2013,Richardson Group,"PSC 1762, Box 0454 APO AP 09663",920-71-6603,GB48KPDM89266099797577,Smith-Glover,"2062 Black Stream Lake Stevenborough, DC 62928",975-99-1790,10%,"208,11","20,81","228,92",batch_1/invoice_905.pdf0.jpg
71449499,09/09/2015,Juarez PLC,"678 Cooper Land Apt. 319 New Ashley, CA 72109",997-91-5654,GB74VAXB23959279378333,Peters-Santiago,"39506 Johnson Throughway Apt. 818 Andersonshire, RI 45619",932-90-6988,10%,"175,47","17,55","193,02",batch_1/invoice_2_color_B_245.pdf0.jpg
82786776,09/26/2018,Skinner-Molina,"PSC 6999, Box 6622 APO AE 40057",971-78-6871,GB74LDIR35437456615996,Brown Ltd,"5208 Elizabeth Rapids Suite 596 Lake Cliffordchester, DC 82996",939-72-0115,10%,"147,93","14,79","162,72",batch_1/invoice_594.pdf0.jpg
68743594,11/14/2015,Vasquez-Brennan,USCGC Mueller FPO AP 25559,943-71-1193,GB82DTZZ62127862271001,Green-Schmidt,Unit 0063 Box 0061 DPO AP 02892,908-96-5050,10%,"41,77","4,18","45,95",batch_1/invoice_904.pdf0.jpg
74474655,01/03/2015,Hunt Group,"2888 Wallace Streets Suite 763 West Belindaport, NY 17859",939-87-8039,GB78LJX136348036441752,"Rogers, Parks and Hall","205 Paul Glens Apt. 198 Ashleyborough, IN 25457",979-73-8511,10%,"108,39","10,84","119,23",batch_1/invoice_115_color_B_253.pdf0.jpg
85817513,10/16/2018,"Jennings, Perkins and Young","0741 Kayla Tunnel Apt. 908 Williamsborough, CT 01669",977-95-2029,GB56GJQS22788684254685,Alexander-Conrad,Unit 0056 Box 3618 DPO AE 71685,988-94-6829,10%,"94,95","9,50","104,45",batch_1/invoice_142_color_B_254.pdf0.jpg
48131301,11/05/2019,"Williams, Boone and Allen","897 Larsen Path Apt. 547 Campbellburgh, VA 00685",919-97-3443,GB63MRUJ38528386706321,"Berry, Strickland and Lawson","507 Holly Land Apt. 686 Powellborough, UT 13981",928-88-8258,10%,"1995,00","199,50","2194,50",batch_1/invoice_669.pdf0.jpg
79917076,05/13/2021,"Green, Oliver and Smith","442 Barrera Viaduct Apt. 044 Ashleyfort, DC 23294",941-85-9302,GB38DYOK25151888627789,"Davenport, Cooper and Clayton","735 Meghan Highway Robertberg, CO 98625",921-72-9603,10%,"14080,26","1408,03","15488,29",batch_1/invoice_182_color_B_245.pdf0.jpg
48239873,09/19/2016,Taylor-Robertson,"330 Stephanie Circle Lake Anthonyhaven, NJ 50494",998-98-2544,GB88SIVN15952505043461,Briggs Inc,"844 Walker Plains Suite 871 North Dianaborough, GA 12278",985-88-6753,10%,"88,65","8,87","97,52",batch_1/invoice_155_color_B_248.pdf0.jpg
77980602,05/07/2017,Cohen-Fleming,USNS Osborne FPO AE 80018,979-78-8300,GB55NIBX31153972731194,Hoffman-Foley,"494 Harris Villages Apt. 528 North Shane, CT 06537",931-76-4901,10%,"285,70","28,57","314,27",batch_1/invoice_668.pdf0.jpg
59150399,10/13/2014,Oliver-Serrano,"22266 Robert Coves Wallaceshire, WA 69136",963-81-8326,GB74CEUF72530553608825,Silva Inc,"99726 Hill Lodge Suite 855 East Deniseside, WV 66270",980-95-6730,10%,"126,72","12,67","139,39",batch_1/invoice_322_color_B_248.pdf0.jpg
84476266,09/18/2017,King-Byrd,"60383 Craig Inlet Lake Amber, WY 16739",934-99-3084,GB74VLAU15249536278295,Haney and Sons,"58676 Hernandez Trail South Hannahburgh, NM 69412",923-79-0271,10%,"165,59","16,56","182,15",batch_1/invoice_364_color_B_241.pdf0.jpg
15883673,05/20/2012,Hardin and Sons,"336 Christina Trail Suite 808 East Jacqueline, VT 48482",978-96-1089,GB98RREZ76578007955961,"Raymond, Bennett and Franklin","62849 Maria Forges Berrytown, WA 68118",954-76-7192,10%,"160,00","16,00","176,00",batch_1/invoice_68.pdf0.jpg
39077025,12/15/2011,Daniel-Benson,"197 Willis Centers Port Timothy, MD 18119",991-85-2472,GB47SIIA32117664549867,"Mcdonald, Jordan and Malone","1763 Lee Square West Stacymouth, CT 72038",925-92-0610,10%,"3546,94","354,69","3901,63",batch_1/invoice_728.pdf0.jpg
29378439,09/16/2011,Andrade-Bennett,"54803 Reginald Run Apt. 776 Garciaville, Ml 49875",959-86-0320,GB79DVQP67594826429760,"Robinson, Brown and Oliver","47770 Osborne Roads Apt. 099 Gallegosfurt, IN 80790",913-71-4613,10%,"355,56","35,56","391,12",batch_1/invoice_69.pdf0.jpg
47743201,07/23/2015,Carpenter-Johnston,"938 Charles Drives Suite 531 Mcmahontown, NC 33950",964-85-1551,GB7OWHXD28723919267896,Greene-Dean,"853 Megan Mills Lake Colleen, OH 38309",912-96-7434,10%,"46,73","4,67","51,40",batch_1/invoice_113_color_B_240.pdf0.jpg
77015917,12/21/2017,Poole-Boyle,"040 Jones Stravenue Ayalaside, AR 62889",938-78-7124,GB85JRSP66679190512842,"Ray, Hurst and Cruz","042 Taylor Extensions Apt. 218 North Rachelstad, NC 44120",924-90-5219,10%,"99,95","9,99","109,94",batch_1/invoice_729.pdf0.jpg
